,venue,latitude,longitude,category,center_lat,center_long
2,The Batten Kill,42.97340998206924,-73.377014534742,River,42.99321829680176,-73.37154630278118
0,"Allen Farm Equipment Co., Inc.",42.995792388916016,-73.55113983154297,Other Repair,42.99568814864477,-73.55549367880474
1,Spoonful Catering,42.992671,-73.551836,Restaurant,42.99568814864477,-73.55549367880474
0,Riverfront Park,42.995064,-73.611403,Park,42.99644575816863,-73.61681446328255
1,Saratoga Sod Farm,42.9922419,-73.6176931,Business Services,42.99644575816863,-73.61681446328255
2,Saratoga National Battlefield,42.997568,-73.633637,National Park,42.99644575816863,-73.61681446328255
3,Nielson Farm,42.98492268815126,-73.64091880504684,Farm,42.99644575816863,-73.61681446328255
0,Gorsky's Farm,43.011044,-73.709812,Food Stand,42.99752059038455,-73.70879996676562
1,Sprinkles And Sugar,43.01116701781883,-73.70145306052525,Bakery,42.99752059038455,-73.70879996676562
2,Hytek Media,42.99794387817383,-73.73117065429688,IT Services,42.99752059038455,-73.70879996676562
3,Cozy Cottages,43.00921249389648,-73.73008728027344,Campground,42.99752059038455,-73.70879996676562
4,Harren Brook Inn,43.010569,-73.728783,Hotel,42.99752059038455,-73.70879996676562
5,Middle of Saratoga Lake,42.99134798384061,-73.73765163664643,Lake,42.99752059038455,-73.70879996676562
0,The Ripe Tomato,42.99377353707305,-73.79015853363225,Italian,42.99819608562584,-73.77012637016269
1,The Publik House,42.99449775506976,-73.79035940791324,Pizza,42.99819608562584,-73.77012637016269
2,Carson's Woodside Tavern,42.99056642938953,-73.77404866264793,American,42.99819608562584,-73.77012637016269
3,Malta Drive-In Theatre,43.00389557811655,-73.78869032377239,Indie Movies,42.99819608562584,-73.77012637016269
4,Albany-Saratoga Speedway,42.98804447021046,-73.78442760091247,Racetrack,42.99819608562584,-73.77012637016269
5,Nanola,42.983789,-73.7859114,Cajun / Creole,42.99819608562584,-73.77012637016269
6,Almost Saratoga,43.012268,-73.789423,Bar,42.99819608562584,-73.77012637016269
7,Mangino's Ristorante,42.98617227317848,-73.75499997398475,Italian,42.99819608562584,-73.77012637016269
8,Saratoga Lake,43.005637563881066,-73.74481784963679,Lake,42.99819608562584,-73.77012637016269
9,Dunning Street Station Bar & Grill,43.01304244995117,-73.78955078125,Restaurant,42.99819608562584,-73.77012637016269
10,Delucias Grocery & Deli,43.013689126930736,-73.79050568750685,Food & Drink,42.99819608562584,-73.77012637016269
0,Pioneer Hills Golf Course,43.018890380859375,-73.95413208007812,Golf Course,43.00002545151352,-73.95411757290337
1,19th Hole,43.019185,-73.952177,Bar,43.00002545151352,-73.95411757290337
2,Johnstons Winery,43.01538848876953,-73.97023010253906,Wine Bar,43.00002545151352,-73.95411757290337
3,62 Moons Brewing,42.98904733847849,-73.93090724945068,Brewery,43.00002545151352,-73.95411757290337
4,Harmony Country Store,42.97825,-73.95423100000001,Food,43.00002545151352,-73.95411757290337
5,Harmony Hall,42.97794342041016,-73.95515441894531,Performing Arts,43.00002545151352,-73.95411757290337
0,Galway Preserve,42.999542236328125,-74.00128936767578,Park,43.00030159544031,-73.98478438709067
1,McConchies Heritage Acres,42.99032932983858,-74.00194405091003,Campground,43.00030159544031,-73.98478438709067
2,Seamless Gutter Solutions,42.98517227172852,-73.99390411376953,Business Services,43.00030159544031,-73.98478438709067
3,Mcconchies,42.98966588308586,-74.0039468045693,Campground,43.00030159544031,-73.98478438709067
4,Johnstons Winery,43.01538848876953,-73.97023010253906,Wine Bar,43.00030159544031,-73.98478438709067
0,Paradise Custom Home Builders,42.97567367553711,-73.34808349609375,Furniture / Home,42.97351052352308,-73.35673769596364
1,The Batten Kill,42.97340998206924,-73.377014534742,River,42.97351052352308,-73.35673769596364
2,Aubuchon Hardware,42.96986389160156,-73.37765502929688,Shops,42.97351052352308,-73.35673769596364
3,Trattoria Lucia,42.9698649,-73.3776559,Italian,42.97351052352308,-73.35673769596364
4,Claire's,42.9695167541504,-73.3776779174805,Accessories,42.97351052352308,-73.35673769596364
5,Owlkill Rod and Gun Club,42.96948610640739,-73.37779738391282,Gun Range,42.97351052352308,-73.35673769596364
0,Windflower Farm,42.99393854188526,-73.5076302196876,Farm,42.97560835427272,-73.5099755689223
0,Jimmy's Pizza & Pasta,42.97413919761705,-73.79504021548833,Pizza,42.97886758168893,-73.78584206537231
1,Home2 Suites by Hilton,42.9679472,-73.7998412,Hotel,42.97886758168893,-73.78584206537231
2,The Ripe Tomato,42.99377353707305,-73.79015853363225,Italian,42.97886758168893,-73.78584206537231
3,Bentley's Tavern,42.97065449967033,-73.79010038794085,Bar,42.97886758168893,-73.78584206537231
4,Minogue's Beverage Center,42.96474278609612,-73.7909016683636,Liquor Store,42.97886758168893,-73.78584206537231
5,Recovery Sports Grill,42.97418476335779,-73.79088295048285,Sports Bar,42.97886758168893,-73.78584206537231
6,Fleet Feet,42.97420786902048,-73.79454423800466,Sporting Goods,42.97886758168893,-73.78584206537231
7,Five Guys,42.97155079403441,-73.7979911368227,Burgers,42.97886758168893,-73.78584206537231
8,The Publik House,42.99449775506976,-73.79035940791324,Pizza,42.97886758168893,-73.78584206537231
9,Saratoga Regional YMCA - Malta Branch,42.974114757293336,-73.80628645420074,Gym,42.97886758168893,-73.78584206537231
10,Wired Coffee & Bagel,42.967734,-73.790837,Coffee Shop,42.97886758168893,-73.78584206537231
11,Unified Beerworks,42.965547,-73.78961300000003,Brewery,42.97886758168893,-73.78584206537231
12,Starbucks,42.971215,-73.797787,Coffee Shop,42.97886758168893,-73.78584206537231
13,Hyatt Place Saratoga/Malta,42.96943377067711,-73.80408225056355,Hotel,42.97886758168893,-73.78584206537231
14,Cumberland Farms,42.970295,-73.79742,Gas Station,42.97886758168893,-73.78584206537231
15,Starbucks,42.973201,-73.795354,Coffee Shop,42.97886758168893,-73.78584206537231
16,Carson's Woodside Tavern,42.99056642938953,-73.77404866264793,American,42.97886758168893,-73.78584206537231
