,latitude,longitude,x,y,distance
64,42.319325982888856,-74.16266605591015,568998.4563180541,4685571.070685828,49303.746054432755
65,42.31910044487675,-74.13233050690935,571498.4563180541,4685571.070685828,47889.03188622624
66,42.318866882971776,-74.1019953118988,573998.4563180541,4685571.070685828,46565.64586688339
67,42.31862529744106,-74.07166048324686,576498.4563180541,4685571.070685828,45341.5854927901
68,42.31837568856094,-74.04132603332101,578998.4563180541,4685571.070685828,44225.09892583615
69,42.318118056616896,-74.01099197448768,581498.4563180541,4685571.070685828,43224.522842941755
70,42.31785240190359,-73.98065831911237,583998.4563180541,4685571.070685828,42348.07404121224
71,42.31757872472486,-73.95032507955946,586498.4563180541,4685571.070685828,41603.598101606476
72,42.31729702539367,-73.91999226819235,588998.4563180541,4685571.070685828,40998.28502510799
73,42.317007304232206,-73.88965989737326,591498.4563180541,4685571.070685828,40538.369170453734
